CityName,Year,AvgPrice0
Sinendé,2003,0
Sinendé,2004,0
Sinendé,2005,0
Sinendé,2006,0
Sinendé,2007,0
Sinendé,2008,0
Sinendé,2009,0
Sinendé,2010,0
Sinendé,2011,0
Sinendé,2012,0
Sinendé,2013,0
Sinendé,2014,0
Sinendé,2015,0
Sinendé,2016,0
Sinendé,2017,0
Sinendé,2018,0
Sinendé,2019,0.7512967974740642
Sinendé,2020,0.5751014884979703
Sinendé,2021,1.136389264772215
Al Makhrim,2003,0
Al Makhrim,2004,0
Al Makhrim,2005,0
Al Makhrim,2006,0
Al Makhrim,2007,0
Al Makhrim,2008,0
Al Makhrim,2009,0
Al Makhrim,2010,0
Al Makhrim,2011,0
Al Makhrim,2012,0
Al Makhrim,2013,0
Al Makhrim,2014,0
Al Makhrim,2015,0
Al Makhrim,2016,0
Al Makhrim,2017,0
Al Makhrim,2018,0
Al Makhrim,2019,0
Al Makhrim,2020,0.41452105577765713
Al Makhrim,2021,1.0609234672706367
Vijayapur,2003,0
Vijayapur,2004,0
Vijayapur,2005,0
Vijayapur,2006,0
Vijayapur,2007,0
Vijayapur,2008,0
Vijayapur,2009,0
Vijayapur,2010,0
Vijayapur,2011,0
Vijayapur,2012,0
Vijayapur,2013,0
Vijayapur,2014,0
Vijayapur,2015,0
Vijayapur,2016,0
Vijayapur,2017,0
Vijayapur,2018,0
Vijayapur,2019,0
Vijayapur,2020,0
Vijayapur,2021,1.3806656631543734
Pasar Cekkeng,2003,0
Pasar Cekkeng,2004,0
Pasar Cekkeng,2005,0
Pasar Cekkeng,2006,0
Pasar Cekkeng,2007,0
Pasar Cekkeng,2008,0
Pasar Cekkeng,2009,0
Pasar Cekkeng,2010,0
Pasar Cekkeng,2011,0
Pasar Cekkeng,2012,0
Pasar Cekkeng,2013,0
Pasar Cekkeng,2014,0
Pasar Cekkeng,2015,0
Pasar Cekkeng,2016,1.8949539480192943
Pasar Cekkeng,2017,0
Pasar Cekkeng,2018,0
Pasar Cekkeng,2019,0
Pasar Cekkeng,2020,1.781932152504808
Pasar Cekkeng,2021,0
Mrauk-U Main,2003,0
Mrauk-U Main,2004,0
Mrauk-U Main,2005,0
Mrauk-U Main,2006,0
Mrauk-U Main,2007,0
Mrauk-U Main,2008,0
Mrauk-U Main,2009,0
Mrauk-U Main,2010,0
Mrauk-U Main,2011,0
Mrauk-U Main,2012,0
Mrauk-U Main,2013,0
Mrauk-U Main,2014,0
Mrauk-U Main,2015,0
Mrauk-U Main,2016,0
Mrauk-U Main,2017,0
Mrauk-U Main,2018,0
Mrauk-U Main,2019,0
Mrauk-U Main,2020,0
Mrauk-U Main,2021,0.20926020363303843
Mansaba,2003,0
Mansaba,2004,0
Mansaba,2005,0
Mansaba,2006,0
Mansaba,2007,0
Mansaba,2008,0
Mansaba,2009,0
Mansaba,2010,0
Mansaba,2011,0
Mansaba,2012,0
Mansaba,2013,0
Mansaba,2014,0
Mansaba,2015,0
Mansaba,2016,0
Mansaba,2017,0
Mansaba,2018,0
Mansaba,2019,0
Mansaba,2020,0
Mansaba,2021,1.1502029769959408
Ansongo,2003,0
Ansongo,2004,0
Ansongo,2005,0
Ansongo,2006,0
Ansongo,2007,0
Ansongo,2008,0
Ansongo,2009,0
Ansongo,2010,0
Ansongo,2011,0
Ansongo,2012,0
Ansongo,2013,0
Ansongo,2014,0
Ansongo,2015,0
Ansongo,2016,0
Ansongo,2017,0
Ansongo,2018,0
Ansongo,2019,0
Ansongo,2020,2.0130807397383856
Ansongo,2021,1.6012629679747405
Tentane,2003,0
Tentane,2004,0
Tentane,2005,0
Tentane,2006,0
Tentane,2007,0
Tentane,2008,0
Tentane,2009,0
Tentane,2010,0
Tentane,2011,0
Tentane,2012,14.446227929373997
Tentane,2013,0
Tentane,2014,13.4580658105939
Tentane,2015,13.061797752808989
Tentane,2016,12.871162720706259
Tentane,2017,12.297351524879613
Tentane,2018,11.858948635634027
Tentane,2019,16.653290529695024
Tentane,2020,0
Tentane,2021,0
Bule,2003,0
Bule,2004,0
Bule,2005,0
Bule,2006,0
Bule,2007,0
Bule,2008,0
Bule,2009,0
Bule,2010,0
Bule,2011,0
Bule,2012,0
Bule,2013,0
Bule,2014,0
Bule,2015,0
Bule,2016,0
Bule,2017,0
Bule,2018,0
Bule,2019,0
Bule,2020,2.404252789238352
Bule,2021,2.6840179390708747
Buhiga,2003,0
Buhiga,2004,0
Buhiga,2005,0
Buhiga,2006,0
Buhiga,2007,0
Buhiga,2008,0
Buhiga,2009,0
Buhiga,2010,0
Buhiga,2011,0
Buhiga,2012,0
Buhiga,2013,0
Buhiga,2014,0
Buhiga,2015,0.6611579787479634
Buhiga,2016,0.7472511526360573
Buhiga,2017,0.8684987148959934
Buhiga,2018,1.3004944693256997
Buhiga,2019,1.1802707425020942
Buhiga,2020,1.4503955240124267
Buhiga,2021,1.2719121688026438
Lucknow,2003,0
Lucknow,2004,0.12752968723866862
Lucknow,2005,0.1338016390700786
Lucknow,2006,0.16641578859341022
Lucknow,2007,0.192339856163238
Lucknow,2008,0.18815855494229805
Lucknow,2009,0.18815855494229805
Lucknow,2010,0.2174276634888777
Lucknow,2011,0.2299715671516976
Lucknow,2012,0.3144338518146847
Lucknow,2013,0.7189422237089071
Lucknow,2014,1.0769192172604114
Lucknow,2015,1.0380832915203213
Lucknow,2016,1.1027839863765605
Lucknow,2017,1.1550147739309808
Lucknow,2018,1.179224508000223
Lucknow,2019,1.0873511836883638
Lucknow,2020,1.4496431956291467
Lucknow,2021,1.8875508724981882
Pasar Klandasan,2003,0
Pasar Klandasan,2004,0
Pasar Klandasan,2005,0
Pasar Klandasan,2006,0
Pasar Klandasan,2007,0
Pasar Klandasan,2008,0
Pasar Klandasan,2009,0
Pasar Klandasan,2010,0
Pasar Klandasan,2011,0
Pasar Klandasan,2012,0
Pasar Klandasan,2013,0
Pasar Klandasan,2014,0
Pasar Klandasan,2015,0
Pasar Klandasan,2016,3.1810040714740735
Pasar Klandasan,2017,0
Pasar Klandasan,2018,0
Pasar Klandasan,2019,0
Pasar Klandasan,2020,2.9629203585467017
Pasar Klandasan,2021,0
Maan,2003,0
Maan,2004,0
Maan,2005,0
Maan,2006,0
Maan,2007,0
Maan,2008,0
Maan,2009,0
Maan,2010,0
Maan,2011,0
Maan,2012,0
Maan,2013,0
Maan,2014,0
Maan,2015,0
Maan,2016,0
Maan,2017,5.151001291989664
Maan,2018,5.115067829457364
Maan,2019,4.804748062015504
Maan,2020,4.987887596899225
Maan,2021,5.136708656330749
Kratie,2003,0
Kratie,2004,0
Kratie,2005,0
Kratie,2006,0
Kratie,2007,0
Kratie,2008,0
Kratie,2009,0
Kratie,2010,0
Kratie,2011,0
Kratie,2012,0
Kratie,2013,0
Kratie,2014,0
Kratie,2015,0
Kratie,2016,0
Kratie,2017,0
Kratie,2018,3.028742768876639
Kratie,2019,0
Kratie,2020,3.028742768876639
Kratie,2021,0
Moyamba,2003,0
Moyamba,2004,0
Moyamba,2005,0
Moyamba,2006,0
Moyamba,2007,0
Moyamba,2008,0
Moyamba,2009,0
Moyamba,2010,0
Moyamba,2011,0
Moyamba,2012,0
Moyamba,2013,1.3491583179465039
Moyamba,2014,0
Moyamba,2015,0
Moyamba,2016,1.4276807583040694
Moyamba,2017,1.2834992798064406
Moyamba,2018,1.5678825795393072
Moyamba,2019,1.8631233914499339
Moyamba,2020,1.6609272583089947
Moyamba,2021,1.6268092967929866
Amachach,2003,0
Amachach,2004,0
Amachach,2005,0
Amachach,2006,0
Amachach,2007,0
Amachach,2008,0
Amachach,2009,0
Amachach,2010,0
Amachach,2011,0
Amachach,2012,0
Amachach,2013,0
Amachach,2014,0
Amachach,2015,0
Amachach,2016,0
Amachach,2017,0
Amachach,2018,0
Amachach,2019,0
Amachach,2020,2.607690572846189
Amachach,2021,2.9318899413622015
Kamalenga,2003,0
Kamalenga,2004,0
Kamalenga,2005,0
Kamalenga,2006,0
