CityName,Red Apples,Beans,Bread (wheat),Bread,Cabbage,Carrots,Cucumbers,Eggs,Fish,Garlic,Beef,Chicken,Lamb,Pork,Milk,Oil (sunflower),Oil (vegetable),Onions,Oranges,Pasta,Peas,Potatoes,Rice (high quality),Rice (low quality),Salt,Sugar (local),Sugar (white),Tea (black),Tomatoes,Walnuts,Wheat,Flour (first grade),CountryName
A'zaz,1.7821927438022642,3.122568823632141,2.577738632012034,3.6847246249094816,0.5625243133602504,0.6592309545205854,0.5284304339044437,1.9158261305367177,0.9674734721628607,2.1871077605692815,4.20869925559779,4.169867940830381,2.8289023527294903,0.82379432100852,4.153632132169854,1.6967607442831323,1.133926955774991,0.1653679528229142,2.4774565907527624,1.1904630686800735,2.5155971996803923,1.0884181444860457,4.493955350780949,1.785228877673063,0.3779228792694139,0.10295981442433699,0.3270228270555172,0.7891465707192259,0.9803742600241077,5.309561362882725,0.41231000580302934,1.609289858848858,Syrian Arab Republic
Aba,1.530919539804886,1.7975032715078467,3.7390240991799035,0.4158054250538068,0.4894937937681896,3.368787279955829,3.2350005812179923,3.954387780351857,1.7820411736284738,2.6259945912676534,4.266102320693948,3.5935389242698923,2.372715158178831,2.803619372810052,3.649456226075932,2.1158614515918144,1.7210584884110225,0.3235781412793177,3.4629827295015345,2.3767365403019944,1.3352589950025333,1.4049863029375529,4.943691932595467,3.444472886907339,0.7177946820560228,0.2994968580287295,0.06398633887567173,0.32970681181705774,1.5361956558440835,4.758777811667188,1.8498859627140414,0.7536301112231802,Nigeria
Abaala,2.199416825558555,3.079665378224438,2.7919626241709046,3.174973128173761,1.7824598599284083,3.5457984534758635,2.3187886919158176,3.7558377768034314,0.26987790182804317,3.131659910458617,5.357320083012654,3.93367138829953,1.9053195212732132,1.039317038904751,2.833110539119522,1.6641397640679505,2.349619433326091,0.5029990517500305,2.796864654499389,1.3781489715580395,2.2816069873363993,0.8831569196922798,3.7898718349607265,2.134940471310661,0.015488235608608014,1.7951030400422479,0.641343279124616,0.8561839968667561,0.6612623582078805,4.999220312433086,1.5810920016842285,1.2105574550785316,Ethiopia
Abalak,2.2200158599731314,1.8961804683585999,2.80971374403135,2.222437635893222,0.7835817633711588,2.606395051647645,2.119664349175693,4.798881596103579,1.1228714191552038,3.775770947286314,5.370667549925987,3.95190386916456,2.4723147486792048,0.5306891127612493,3.303409907689985,2.846973257197006,1.0076066215827828,0.015896251599204714,2.6820445636776276,2.168802298541949,1.871305375216847,1.3672522764089892,3.9757983970184863,3.3182202976094892,0.1585359610129874,0.9183359695724083,0.02408280313438793,0.2209412086572532,2.0091263900354153,4.943720683323981,0.6869240061968507,1.756981765629841,Niger
Abba Gamaram,1.9091967905005014,2.097785549095991,3.5980779470930804,2.167385438338141,1.1204596318504745,3.3280608930018465,2.1803095685692666,2.5166447407834274,0.6789245099770956,2.595999284148294,4.671206084170667,3.0163348577674127,1.6074310577925428,0.49684782561255025,0.5934711764846425,1.503700546739394,1.0124974040276693,0.9173964298611239,0.68607078755955,1.4749444716235778,1.727102447311187,0.427483116858662,3.716295282157594,3.40680984093129,0.842262606288607,1.133185654288575,1.647680592946621,0.8431664775653641,0.7161397050299559,5.226460663152395,0.1902722309661946,1.9648535257377153,Nigeria
Abeche,2.6529859006897554,2.3018997042935867,3.1978737774991153,3.472161296998782,0.9037642759970548,2.51368166156339,1.9163414540885795,4.066458282232536,1.7973309972865126,3.4703751768297204,5.453727354883913,3.843317213157219,2.828954087949259,0.12284583104181779,4.046593933586636,2.201694377550389,2.9328487097068017,0.660367299033559,3.4921167820042607,0.9423683859569181,1.4151659635711897,1.7063457386280376,4.390462159658733,3.742558987040213,0.9267672833308466,0.9508375610167219,1.5764711265474358,1.0284290831814138,0.8431806469625538,5.599064864755733,0.005374583372975916,2.108541050656123,Chad
Abeibara,1.2860872941412929,2.7325555797415517,3.070538579856466,2.771873336234871,1.9678432248493993,4.006068678473827,3.07804755782208,3.6853441704953624,0.6986687910786379,3.4818544863601373,4.228397815164167,4.180804426236392,0.89588333864312,1.621442909320622,4.246296404092375,2.512358146340387,2.5744474266067594,1.2249221021100498,1.8113498615720751,1.2820078842938865,1.3069455517567927,1.7330857764093248,4.0092754437246,3.5339270103047413,0.23088380777619122,0.7939647498451723,0.05157102371366673,0.03804760013820497,1.7070508519203675,4.711945541578029,1.7684105933241414,1.5818006025962545,Mali
Abi Adi,1.1864673619786004,3.293670861627527,4.063585206848137,2.025120055250891,1.0078963166110257,4.304411585616797,1.7829772287935615,4.4024102860743195,0.6245460318029789,3.277945554852373,3.9296003375660593,3.465693286345317,1.1963603045330624,1.3359819375151898,2.3411813223048474,2.3308827280546045,1.6912095577342061,0.14651131738455558,3.030519695969331,2.642150962971739,1.2058448976294236,1.6806852263773662,3.6566138436962192,2.6065441563622214,1.161759797542636,1.3079172196727737,0.9863397287097716,0.6733211884572888,0.5885450255598006,5.153105002027301,0.08052929668968575,1.811409919598743,Ethiopia
Abomey,2.5321443081233763,3.2383656654652633,3.6181391409972328,2.434012233097958,2.3748015363971247,2.995023255963604,1.7893999767036286,4.110254036300953,1.2866585483017827,3.2360819671566503,5.345982282236467,3.7516179322093572,2.496398285206772,1.2363625669146114,2.9403672457049,2.4348514764916853,2.962038161757903,0.08721824999610917,0.7994557914774684,2.051690624043409,1.3535538026041993,1.8557026890832709,4.584257350122027,2.7611237872152925,0.20592124066329232,0.0545977674687711,0.8601780000092368,0.4896007371076282,1.8324693803185224,5.6443184760021765,2.0564497966999027,1.399285558848387,Benin
Abomsa,2.2139361594176874,2.3936521660077683,2.82764213784062,2.663073671450937,1.0912063896945963,3.8159018636306334,1.3809309887537797,3.5796493092361468,1.656311593387421,2.904295186452769,4.684644010786671,2.4385563008768623,2.1453724185975913,1.1947795687416645,4.072211313188353,3.0966601908139886,1.750889188281579,0.3417351052200934,3.567740184856431,1.826007754309454,85.84068363888359,0.5767424628748149,4.1462047037079435,2.3981420558280337,0.1989810751949147,1.8698283480598041,0.5536471671498663,0.9317213116032804,1.8571549874566455,4.434464778118137,1.7210315644121121,1.1654125462141016,Ethiopia
Abra,2.611192425485896,2.0967295739197023,3.6713500386236593,3.1027666104572313,0.8911763032431324,2.1510513217046396,2.0500745516140544,0.6131214713687966,0.13564244256520797,4.653041183471499,7.020974472934192,2.482035620524168,0.9044916674011365,4.497784015831698,3.1905492311097228,2.420003582244153,2.9453312217824488,1.184630772897652,1.8358509189054442,1.7335869703289546,2.354379788366109,0.6978004992738557,4.076524002745033,3.1838408131789624,1.5599716850392902,0.9055882205303778,0.4578672222836483,0.9533511724539935,2.370981180963298,4.474220921512844,0.25638767828908904,1.4961341907873282,Philippines
Abusliem,2.138234237332351,0.6449977862810068,3.144692984665799,0.33092130255153407,1.910379987306703,2.5223402651943196,1.4123431113090334,3.0008360733205204,0.29925778786384305,3.5711788110556797,4.46866997909878,3.4857421421844013,10.602234831864468,0.49600486785647935,3.469025300202417,1.712312171107445,0.8855335129208286,1.5636525636247027,3.3859708074011796,0.7124531046014876,2.326233503102981,1.6179523720547633,4.556251175029433,2.9237479614956596,0.3698467594839906,1.3323777900570244,1.7656081033174176,1.1362292157302951,0.5545909390082384,4.846848046324747,1.1579012034775251,1.6250092572478803,Libya
Accra,1.4871297865897015,2.8885382926809973,2.7178718330945157,2.102479172635703,1.1288861266487387,2.9823068623044,1.3748513826521538,4.370067019254145,1.7107573751188765,2.7573126482716397,4.655916963341508,0.1287782242455675,1.2714789338068342,0.10135337308014891,3.8536419427146558,2.6682578971466766,2.8205774335375087,2.6009249123027995,1.840020667060414,2.566163641838831,2.4257167456970254,1.4802097919776416,4.869443216629534,3.348125927937868,0.9364551034976522,0.19162769132841584,1.2659704654752613,0.8600872400186471,2.1000834693174433,5.689672802048843,1.138209671717708,0.566000003203176,Ghana
Addaleh Town,2.856944226800846,1.509805595405919,2.8398181132984126,2.2223049006172455,2.0634478974723773,3.8411342641033572,2.9324023025252623,0.18593040418407392,0.7849531296244973,2.6402641704777716,4.571989761256713,2.7187437515300736,1.7676805919038914,0.42231511862036764,3.448105021868078,3.0781978859521337,3.339564963235025,0.8831290532146261,3.026003096890638,2.7387586003368494,1.7307086449054014,1.2925538904113747,3.6427136537230007,3.005340788383748,1.3837389485665466,1.7145892624417156,0.6683207662398586,0.5988503198615692,1.9664096769650903,4.942110441114351,1.958366139953706,1.5553220929985168,Yemen
